COMPANY,sector,Symbol,Ticker
ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES,ADANIENT
ADANI PORTS & SEZ,MISCELLANEOUS,ADANI PORTS & SEZ,ADANIPORTS
APOLLO HOSPITALS,MISCELLANEOUS,APOLLO HOSPITALS,APOLLOHOSP
ASIAN PAINTS,PAINTS,ASIAN PAINTS,ASIANPAINT
AXIS BANK,BANKING,AXIS BANK,AXISBANK
BAJAJ AUTO,AUTOMOBILES,BAJAJ AUTO,BAJAJ-AUTO
BAJAJ FINANCE,FINANCE,BAJAJ FINANCE,BAJAJFINSV
BAJAJ FINSERV,FINANCE,BAJAJ FINSERV,BAJFINANCE
BHARAT ELECTRONICS,DEFENCE,BHARAT ELECTRONICS,BEL
BHARTI AIRTEL,TELECOM,BHARTI AIRTEL,BHARTIARTL
BPCL,ENERGY,BPCL,BPCL
CIPLA,PHARMACEUTICALS,CIPLA,BRITANNIA
COAL INDIA,MINING,COAL INDIA,CIPLA
DR. REDDYS LAB,PHARMACEUTICALS,DR. REDDYS LAB,COALINDIA
EICHER MOTORS,AUTOMOBILES,EICHER MOTORS,DRREDDY
GRASIM,TEXTILES,GRASIM,EICHERMOT
HCL TECHNOLOGIES,SOFTWARE,HCL TECHNOLOGIES,GRASIM
HDFC BANK,BANKING,HDFC BANK,HCLTECH
HDFC LIFE INSURANCE,INSURANCE,HDFC LIFE INSURANCE,HDFCBANK
HERO MOTOCORP,AUTOMOBILES,HERO MOTOCORP,HDFCLIFE
HINDALCO,ALUMINIUM,HINDALCO,HEROMOTOCO
HINDUSTAN UNILEVER,FMCG,HINDUSTAN UNILEVER,HINDALCO
ICICI BANK,BANKING,ICICI BANK,HINDUNILVR
INDUSIND BANK,BANKING,INDUSIND BANK,ICICIBANK
INFOSYS,SOFTWARE,INFOSYS,INDUSINDBK
IOC,ENERGY,IOC,INFY
ITC,FOOD & TOBACCO,ITC,ITC
JSW STEEL,STEEL,JSW STEEL,JSWSTEEL
KOTAK MAHINDRA BANK,BANKING,KOTAK MAHINDRA BANK,KOTAKBANK
L&T,ENGINEERING,L&T,LT
M&M,AUTOMOBILES,M&M,M&M
MARUTI SUZUKI,AUTOMOBILES,MARUTI SUZUKI,MARUTI
NESTLE,FOOD & TOBACCO,NESTLE,NESTLEIND
NTPC,POWER,NTPC,NTPC
ONGC,ENERGY,ONGC,ONGC
POWER GRID,POWER,POWER GRID,POWERGRID
RELIANCE IND.,ENERGY,RELIANCE IND.,RELIANCE
SBI,BANKING,SBI,SBILIFE
SBI LIFE INSURANCE,INSURANCE,SBI LIFE INSURANCE,SBIN
SHRIRAM FINANCE,FINANCE,SHRIRAM FINANCE,SHRIRAMFIN
SUN PHARMA,PHARMACEUTICALS,SUN PHARMA,SUNPHARMA
TATA CONSUMER,FMCG,TATA CONSUMER,TATACONSUM
TATA MOTORS,AUTOMOBILES,TATA MOTORS,TATAMOTORS
TATA STEEL,STEEL,TATA STEEL,TATASTEEL
TCS,SOFTWARE,TCS,TCS
TECH MAHINDRA,SOFTWARE,TECH MAHINDRA,TECHM
TITAN,RETAILING,TITAN,TITAN
TRENT,RETAILING,TRENT,TRENT
ULTRATECH CEMENT,CEMENT,ULTRATECH CEMENT,ULTRACEMCO
WIPRO,SOFTWARE,WIPRO,WIPRO
